龙湖北城天街二期,11789.0,890,490,11400,23,2013,80,五块石
锦西名宅西区,1410.0,142,234,10527,5,2002,10,营门口
东较场街116号,83.0,29,23,9777,4,,1,红星路
泰和佳园,2040.0,394,440,10588,18,2006,16,天府长城
保利香槟国际,4433.8,486,666,9845,9,2012,80,成外
武侯别墅丽园,1156.0,19,15,22944,,3,2,五大花园
江南岸,260.0,6,42,10293,12,2001,2,城南宜家
北部桂庭,520.0,96,166,6245,6,2007,8,大丰
人民南路四段51号,98.0,17,60,10638,7,2000,1,航空路
远大林语城别墅,2496.0,36,38,10196,,3,8,蛟龙港
成都建筑材料工业设计研究院,112.0,2,0,9870,6,,2,猛追湾
汇景花园,438.0,6,10,6386,18,,10,毗河
新界四期,1715.0,30,22,20563,4,2007,4,红牌楼
天盛驿都锦绣,158.0,0,4,5607,6,2005,2,航天
恒创蜀都公馆,140.0,60,16,6423,24,2012,2,郫县万达
双桥路249号,92.0,8,22,9865,6,,2,新华公园
东方丽景,133.0,3,53,9228,6,2008,2,蓝谷地
锦江新园,594.0,153,91,9264,21,2002,7,川音
蓝谷地一二期,1913.0,173,209,10415,11,2006,15,蓝谷地
北新润苑2期,1792.0,244,112,8017,18,2012,22,大丰
蓝谷地天域,1459.0,99,239,10657,31,2011,14,蓝谷地
玺印上院,1609.6,132,182,7515,6,2006,18,龙泉驿城区
犀浦百伦广场,500.0,16,40,7161,16,,8,犀浦
五里墩东路18号,74.0,0,2,9309,7,2000,2,一品天下
峰墅一期,3210.0,18,22,15619,,12009,6,中海国际
洲际亚洲湾,85.0,15,10,7149,32,2017,1,光华大道沿线
郦景东城,619.6,44,40,10348,11,2003,6,八里小区
科华南领馆,213.0,20,334,8533,6,2005,6,东苑
梓桐苑,315.0,1,5,11788,7,2002,2,桐梓林
会所花园,1148.0,893,590,7898,12,2002,16,五大花园
西区花园水云涧,2984.0,246,330,6863,6,2005,34,犀浦
沙河源上金府,1672.0,302,180,8121,22,2009,32,五块石
上海东韵,1103.0,357,183,12548,,2012,10,攀成钢
本固楼,220.0,4,20,8209,7,,2,猛追湾
润扬书院阁,82.0,0,4,8040,15,2007,2,航空港
东晖花园,570.0,6,32,8297,7,2001,6,八里小区
营福巷37号,126.0,2,64,7734,7,2000,2,抚琴小区
锦城名都,4196.0,852,190,10514,32,2009,56,营门口
东大街102号,76.0,0,22,4176,5,2003,2,郫县万达
汇锦城,7904.0,740,962,15176,29,2014,62,大源
紫东梵谷,1014.0,197,510,8617,13,2008,15,蓝谷地
兴蓉街19号,155.0,18,5,8561,7,1997,2,衣冠庙
蜀都中心二期,584.0,2,2,10000,27,2015,2,新会展
凌江尚府,370.0,26,4,10461,22,2009,4,五块石
梨花街38号,350.0,2,7,25314,7,1995,2,盐市口
白兰地,502.0,279,150,8993,,,7,外双楠
巴黎都市,98.0,14,154,6448,18,2015,2,航空港
金牛万达C组团,2610.0,434,148,15022,32,2012,18,金牛万达
香榭国际,5838.6,736,2242,10894,13,2012,88,中和
望亭居,130.0,17,62,9739,7,2002,1,川音
高升瑞景,484.0,263,316,12239,20,2008,7,高升桥
卫欣苑,120.0,2,9,9692,6,2002,1,红牌楼
大田坎街95号,106.0,2,0,10570,7,1995,1,水碾河
友谊花园,220.0,1,1,7561,2,1998,1,温江老城
丰尚玉林商务港,358.0,2,52,9923,13,2000,6,芳草
